,Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice,SalePrice_norm,YesPool,Yes2F,YesGarage,YesBsmt,YesFireplace,TotalLvgSF,TotalQuality,TotalSF,TotalBath,TotalPorchSF,TotalLvgSF_Qual,TotalCondQual
0,0,6.607841250151849,RL,31.188030996955913,20.774202262925954,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,5.986440105030452,8.864348729526686e+51,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,23.42495687698069,Gd,TA,CBlock,TA,TA,No,GLQ,130.6890022512675,Unf,0.0,34.81598044164167,725.0,GasA,Ex,Y,SBrkr,7.481728564740765,913.4900619388609,0.0,9.148067300586595,0.0,0.0,2,1.0684050848584057,3,0.7509514583083404,Gd,2.0705512392897854,Typ,0.0,None,Attchd,1.558977788515842e+124,RFn,2.0,475.0,TA,TA,Y,0.0,10.277276715096662,0.0,0.0,0.0,0.0,0.0,3,2010,WD ,130500.0,11.779128505744884,0,1,1,1,0,49.515469201948534,71.64872528404014,14.044537365273689,2.5,16.01184098455594,136.56569408266944,48
1,1,6.607841250151849,RL,20.45093418124369,20.123054949490374,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,3.9844166875627045,1.0426654888055092e+52,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.21331493403144,Gd,TA,PConc,Gd,TA,No,GLQ,148.92024400308117,Unf,0.0,43.340915737636216,913.0,GasA,Ex,Y,SBrkr,7.77852457366899,1488.246064391161,0.0,9.711855846379862,0.9953655835411324,0.0,2,1.0684050848584057,4,0.7509514583083404,Gd,2.35700115516981,Typ,0.9003031951550163,TA,Attchd,2.333175796696031e+124,RFn,2.0,559.0,TA,TA,Y,0.0,13.555853046825899,0.0,0.0,0.0,0.0,0.0,4,2009,WD ,220000.0,12.3013828253345,0,1,1,1,1,56.463618452054334,55.278932360191156,15.037010829850194,3.5,22.73000441472562,145.7416755846659,35
2,2,4.300278327162467,RL,28.96422080387572,18.68802114523338,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5.336695698030829,7.339844643618369e+51,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,164.70740673896736,Unf,0.0,47.89676973600389,1057.0,GasA,TA,Y,SBrkr,7.968437703600034,0.0,0.0,8.63433102766395,0.9953655835411324,0.0,1,0.0,3,0.7509514583083404,Gd,1.8970859567358926,Typ,0.0,None,Detchd,9.974896935372059e+123,Unf,1.0,246.0,TA,TA,Y,0.0,11.24538810570991,0.0,0.0,0.0,0.0,0.0,1,2010,WD ,109000.0,11.599103161211278,0,0,1,1,0,48.67252031470101,55.278932360191156,13.685267367962167,2.0,17.93228529573706,126.45476648249586,35
3,3,6.607841250151849,RL,30.558474127599617,19.499813664197394,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,3.9844166875627045,1.1301335173508958e+52,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,52.82894405017691,384.0,GasA,Gd,Y,SBrkr,7.514896149430934,845.9484957952757,0.0,9.111096112275856,0.0,0.0,2,1.0684050848584057,3,0.7509514583083404,TA,2.222184992560414,Typ,0.0,None,BuiltIn,2.8228392203700986e+124,Fin,2.0,400.0,TA,TA,Y,31.626651808351458,0.0,0.0,0.0,0.0,0.0,0.0,4,2010,WD ,174000.0,12.066810578196664,0,1,1,1,0,45.83900867809321,40.801625121993396,13.050611737146777,2.5,27.771663747578536,111.1534009147299,25
4,4,6.182484906958001,RL,33.357589155594184,20.985146340864198,IR1,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,5.986440105030452,4.710741438125382e+51,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,73.9732125483972,676.0,GasA,TA,Y,SBrkr,7.657062925137555,738.7525972310171,0.0,9.112164063064595,0.0,0.0,2,0.0,3,0.7509514583083404,TA,2.0705512392897854,Typ,0.0,None,Detchd,1.0784476525252706e+124,Unf,2.0,484.0,TA,TA,N,0.0,12.029148052159645,0.0,0.0,0.0,0.0,0.0,3,2010,WD ,138500.0,11.83862560460953,0,1,1,1,0,48.73885667434631,71.64872528404014,13.05263563467389,2.0,19.526770865961872,134.52334396982857,48
5,5,4.300278327162467,RL,49.02004694487341,21.59385351632918,IR1,Lvl,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,4.670325952935469,8.168265623968854e+51,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,74.2594429295916,Rec,11.90905719582492,65.93977975739357,1517.0,GasA,Ex,Y,SBrkr,8.731307656350614,0.0,0.0,9.52803427823323,0.0,0.0,2,1.0684050848584057,2,0.7509514583083404,Gd,2.0705512392897854,Mod,0.9003031951550163,Gd,Attchd,1.2846966246510725e+124,Fin,2.0,578.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2010,WD ,190000.0,12.154779351142626,0,0,1,1,1,59.18252733441017,55.278932360191156,15.139395614677575,2.5,0.0,152.4617981387062,36
6,6,9.575431825058283,RM,17.46949354313914,15.962833576518824,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,3.9844166875627045,1.1210865261073918e+52,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,12.869628644370753,TA,TA,PConc,Gd,TA,Gd,GLQ,133.19626167624966,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,7.986767538985884,0.0,0.0,8.655671746378204,0.9953655835411324,0.0,2,0.0,2,0.7509514583083404,TA,1.8970859567358926,Typ,0.0,None,Basment,2.7175116825777606e+124,Fin,2.0,525.0,TA,TA,Y,0.0,10.277276715096662,0.0,0.0,0.0,0.0,0.0,6,2006,New,140000.0,11.849397701591439,0,0,1,1,0,43.59293331790817,47.79991882183636,13.387869567546172,3.0,16.01184098455594,110.01550992383338,30
7,7,4.300278327162467,RL,31.188030996955913,20.347974705634773,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3.9844166875627045,7.711881813370327e+51,1959,Hip,CompShg,Plywood,Plywood,BrkFace,18.785359677304434,TA,TA,CBlock,TA,TA,No,Rec,207.12300675752996,Unf,0.0,34.374547789299015,1188.0,GasA,Fa,Y,SBrkr,8.12071978053456,0.0,0.0,8.811826017588167,0.9953655835411324,0.0,1,0.0,3,0.7509514583083404,TA,2.0705512392897854,Typ,0.0,None,Attchd,1.1212912708972163e+124,RFn,2.0,531.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2010,COD,142000.0,11.8635823365834,0,0,1,1,0,51.07000343388621,40.801625121993396,14.303629606347714,2.0,0.0,123.2405453269993,25
8,8,4.300278327162467,RL,31.188030996955913,21.410723345306494,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,3.9844166875627045,7.279499858675375e+51,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,84.00306024633988,Unf,0.0,71.07780720817578,924.0,GasA,TA,Y,SBrkr,7.794014056544254,0.0,0.0,8.431584510594288,0.0,0.0,1,0.0,2,0.7509514583083404,TA,2.0705512392897854,Typ,0.0,None,Detchd,9.78193817987959e+123,Unf,1.0,420.0,TA,TA,Y,0.0,28.5879323845273,0.0,0.0,0.0,0.0,6.561181833030629,6,2007,WD ,112500.0,11.630708500626614,0,0,1,1,0,46.04557800008083,40.801625121993396,12.554571492302943,1.0,59.94123050261674,111.63112911946986,25
9,9,6.607841250151849,RL,29.605515274360933,20.162215051322203,IR1,HLS,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,3.9844166875627045,8.37151135094142e+51,1969,Gable,CompShg,Plywood,Plywood,BrkFace,19.364409612083367,TA,TA,PConc,Gd,TA,Av,Rec,151.13964873855286,Unf,0.0,53.320746578640716,1040.0,GasA,TA,Y,SBrkr,7.947359156491451,1273.7207740718168,0.0,9.680312855967403,0.0,0.7085884032361374,1,2.235671082617857,5,0.7509514583083404,Fa,2.4784511538138516,Typ,1.6788875934502334,TA,Attchd,1.3616238940308492e+124,Unf,2.0,504.0,TA,TA,Y,72.81296163348689,0.0,0.0,0.0,0.0,0.0,0.0,9,2007,WD ,135000.0,11.813030057420569,0,1,1,1,1,57.10533938692092,40.801625121993396,15.003041302987707,2.5,61.25167982838176,137.16121700116193,25
